,Link,Name,Description,Price,Sale_Price
101,https://www.nike.com/in/t/air-zoom-tempo-next-road-running-shoes-chNfdw/CI9923-007,Nike Air Zoom Tempo NEXT%,Men's Road Running Shoes,"17,595","14,077"
102,https://www.nike.com/in/t/dbreak-se-shoes-NVG1WW/DN3399-001,Nike DBreak SE,Women's Shoes,"9,695","7,757"
103,https://www.nike.com/in/t/anthony-davis-lakers-icon-edition-2020-nba-swingman-jersey-Bclg85/CW3669-728,Anthony Davis Lakers Icon Edition 2020,Nike NBA Swingman Jersey,"4,995","3,997"
104,https://www.nike.com/in/t/pro-flex-vent-max-shorts-bWzQgH/CJ1958-451,Nike Pro Flex Vent Max,Men's Shorts,"2,795","2,237"
105,https://www.nike.com/in/t/paris-saint-germain-elite-away-dri-fit-adv-football-drill-top-Vq7qDz/DH0750-010,Paris Saint-Germain Elite Away,Men's Nike Dri-FIT ADV Football Drill Top,"5,995","4,797"
106,https://www.nike.com/in/t/zoomx-superrep-surge-endurance-class-shoes-XtkmmZ/CK9406-069,Nike ZoomX SuperRep Surge,Women's Endurance Class Shoes,"12,495","9,997"
107,https://www.nike.com/in/t/jordan-essentials-mesh-shorts-PNTnfV/DH9048-222,Jordan Essentials,Men's Mesh Shorts,"2,795","2,237"
108,https://www.nike.com/in/t/air-max-95-se-shoe-FqDnxl/DH4755-200,Nike Air Max 95 SE,Men's Shoes,"15,995","12,797"
109,https://www.nike.com/in/t/jordan-itage-long-sleeve-t-shirt-VDZVjf/DM5255-104,Jordan (Her)itage,Women's Long-Sleeve T-Shirt,"2,495","1,997"
110,https://www.nike.com/in/t/dri-fit-uv-checked-golf-chino-shorts-XRm49t/DH1295-657,Nike Dri-FIT UV,Men's Checked Golf Chino Shorts,"3,695","2,957"
111,https://www.nike.com/in/t/revolution-6-se-shoes-ZPCwQd/DJ1986-607,Nike Revolution 6 SE,Baby/Toddler Shoes,"3,495","2,797"
112,https://www.nike.com/in/t/air-max-90-shoes-6zXfRN/DM8171-200,Nike Air Max 90,Men's Shoes,"11,895","9,517"
