,Link,Title,Company Name,Location,Date,Salary
259,https://in.indeed.com//rc/clk?jk=64e7ab8c6eef4ec5&fccid=91444a28cb181211&vjs=3,Business Intelligence Specialist,NTT DATA,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
260,https://in.indeed.com//company/Bluelupin-Technologies-Private-Limited/jobs/Business-Analyst-ddd9a8e43a3efe5e?fccid=ffceb1361eec4ff0&vjs=3,Business Analyst (4+ yrs exp),Bluelupin Technologies Private Limited,"Noida, Uttar Pradesh",EmployerActive 15 days ago,N/A
261,https://in.indeed.com//rc/clk?jk=69f4d2ecc074020b&fccid=3e093dcca6523ac0&vjs=3,"Business Intelligence engineer (Power BI, SQL, Python)",forstaffing india,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
262,https://in.indeed.com//rc/clk?jk=9528f1a4f49737d3&fccid=d13187a50c252e33&vjs=3,"Analyst II, Business Process Job",Boston Scientific Corporation,"Hybrid remote in New Delhi, Delhi",Posted30+ days ago,N/A
263,https://in.indeed.com//rc/clk?jk=bef6a816e9bc7981&fccid=96c233ccb1f1b59f&vjs=3,Database Administration & Support Analyst,RxLogix,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
264,https://in.indeed.com//rc/clk?jk=913d47dc05832be9&fccid=cd22d01053af7669&vjs=3,Systems Analyst 3-Support - Database,Oracle,"New Delhi, Delhi",Posted19 days ago,N/A
265,https://in.indeed.com//rc/clk?jk=168628b3c0f9e64b&fccid=88f5eba43de70e76&vjs=3,Data Management and Analysis Services Analyst I,Conduent,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
266,https://in.indeed.com//rc/clk?jk=dcb8ab8ab1ee59db&fccid=2b1e42f645eeaf1e&vjs=3,newCIEL/STF/26584: Financial Analyst - 4 Years - Noida,CIEL HR Services,"Noida, Uttar Pradesh",Posted5 days ago,N/A
267,https://in.indeed.com//rc/clk?jk=6cddabcaab328f09&fccid=49b7b2ce845ef5d7&vjs=3,Data Analyst,Growth Hub Consultants,"New Delhi, Delhi",Posted29 days ago,N/A
268,https://in.indeed.com//rc/clk?jk=910dad2febc0476b&fccid=d00bcbf4ac1efa28&vjs=3,Power BI Developer,Prowess India,"Noida, Uttar Pradesh",Posted27 days ago,N/A
269,https://in.indeed.com//rc/clk?jk=1dd48a642ffe1ca4&fccid=9ef8c0dc355e8022&vjs=3,Business Analyst,Pitney Bowes,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
270,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1Tds0XE-AWRCee3Hrfxz-ITHKTJBiA-Eoohq1h1wmP37zT5WzqpqH1McQgi8c-OwmutE1Fk8G4V0Wa8olvfwjBmZ0Ud9gdeBCZ4TV_r-rzzc0qwSqC2DDH2NWOWG_OvgzcwQsMzB3Hvvg4fVkk9GiI741zhJr1NmQ3BcmdMvJqEONg8ztpY3AUwZXydDE-JC5oVSNCC9ZpjpPdNEskE7Xrdgjg32Ib_dwcyDkqoP4yk4y4xJUERPLaBfHcWHqErq8Ubr2tsQs85TbaTU3QYjv2428sP0iSZ2-shsKUIHMN4e7S5TrpqWfdhMdbaEuYamk05JHGi6FEFC-NM49qezKcp2OPA36MDp3gNCzKQ04v3X400NBuzV3sqAwF9rio20b0QlcYHmaQX1JnlfbT46Kt-1JtnMpqnfUjMS7FUnL0nUQ4bFLcGbULw4=&p=14&fvj=0&vjs=3,Lead Visual Engineer/Analyst,Boston Consulting Group,"New Delhi, Delhi",Posted30+ days ago,N/A
271,https://in.indeed.com//rc/clk?jk=55d91284c3ba7df5&fccid=6d4bbaf1cd8e20a1&vjs=3,Business Intelligence Analyst,ScoopWhoop,"New Delhi, Delhi",Posted30+ days ago,N/A
272,https://in.indeed.com//rc/clk?jk=71f7d969a786f073&fccid=e81dd18605b237a2&vjs=3,CRM Business Data Analyst,Harappa Learning,"New Delhi, Delhi",Posted30+ days ago,N/A
273,https://in.indeed.com//rc/clk?jk=910dad2febc0476b&fccid=d00bcbf4ac1efa28&vjs=3,Power BI Developer,Prowess India,"Noida, Uttar Pradesh",Posted27 days ago,N/A
274,https://in.indeed.com//rc/clk?jk=5f3b104bcf898ea3&fccid=a4e4e2eaf26690c9&vjs=3,Senior Analyst-Procure to Pay Processing,Accenture,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
275,https://in.indeed.com//rc/clk?jk=d4578c484c46e8b8&fccid=85863bd796001301&vjs=3,Senior Insights Analyst,Convosight,"New Delhi, Delhi",Posted30+ days ago,N/A
276,https://in.indeed.com//rc/clk?jk=b719b7f77994e7dd&fccid=85863bd796001301&vjs=3,Senior Financial Analyst,Convosight,"New Delhi, Delhi",Posted30+ days ago,N/A
277,https://in.indeed.com//rc/clk?jk=8339dbc7c73abd3f&fccid=d13187a50c252e33&vjs=3,"Analyst II, Business Systems Job",Boston Scientific Corporation,"Temporarily Remote in New Delhi, Delhi",Posted30+ days ago,N/A
278,https://in.indeed.com//rc/clk?jk=2f59641d98a2645f&fccid=6caf0037306e4425&vjs=3,Lead Analyst - Data Management,Taurus Contractors,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
279,https://in.indeed.com//rc/clk?jk=66695fdc92631dca&fccid=91444a28cb181211&vjs=3,Database Administration Analyst,NTT DATA,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
280,https://in.indeed.com//rc/clk?jk=f7c04bac2c76e661&fccid=c925cbe62940a43a&vjs=3,National Researcher - Data Analysis and Visualization,International Water Management Institute,"New Delhi, Delhi",Posted11 days ago,N/A
